position,substituent,source
R1,*c1c(C(=O)O)cccc1C(=O)O,base
R1,*CCOCCNC(=O)C=C,base
R1,*C1CCCCC1C(=O)O,base
R1,*CCOCCN,base
R1,*CC(C)(C)C,base
R1,*CCNC(=O)C=C,base
R1,*C(C)C,base
R1,*C(C)(C)C,base
R1,*CCC,base
R1,*CCNC(=O)OC,base
R1,*CCCCCCO,base
R1,*CC,base
R1,*CCOC,base
R1,*CCCC=C,base
R1,*CCCCCCNC(=O)C(F)(F)F,base
R1,*CCF,base
R1,*C,base
R1,*C1CCCCC1C(=O)OCC,base
R1,*CCCl,base
R2,*C,base
R2,*CC,base
R2,*CCC,base
R2,*C(C)C,base
R2,*C(C)(C)C,base
R2,*c1ccccc1,base
R2,*CC(C)(C)C,base
R2,*c1ccc(C)cc1,base
R2,*c1cccc(C)c1,base
R2,*c1ccc(OC)cc1,base
R2,*CCCC=C,base
R2,*c1cccc(OC)c1,base
R2,*C1CCCCC1C(=O)OC,base
R3,*c1ccc(OC)cc1,base
R3,*c1ccc(O)cc1,base
R3,*c1ccc(N(C)C)cc1,base
R3,*OCC,base
R3,*c1ccc(C)cc1,base
R3,*OC,base
R3,*c1c(OC)cc(OC)cc1OC,base
R3,*c1ccccc1,base
R3,*c1ccc(OC)cc1OC,base
R3,*c1ccc(OC)c2ccccc12,base
R3,*C=CC,base
R4,*CCCCC,base
R4,*CC(C)(C)C,base
R4,*C(CC)CC,base
R4,*CCCC,base
R4,*C(C)(C)C,base
R4,*CC(C)C,base
R4,*CCC,base
R4,*C1CC1,base
R4,*CCCSC,base
R4,*CCCCCCCCCC,base
R4,*C(C)C,base
R4,*CC,base
R1,*CCCCO,new
R1,*CCOCC,new
R1,*C1CCCCC1,new
R1,*CCCO,new
R1,*OCCC,new
R1,*CCCN,new
R1,*CCCCCC,new
R1,*CCNC(C)=O,new
R1,*CCO,new
R1,*CCBr,new
R1,*C(F)(F)F,new
R1,*OC(=O)CC,new
R1,*CC(=O)OC,new
R2,*CN,new
R2,*CO,new
R2,*CF,new
R2,*CNC,new
R2,*NCC,new
R2,*SCC,new
R2,*CCBr,new
R2,*CCN,new
R2,*CCCCCC,new
R2,*CCO,new
R3,*OCCC,new
R3,*OCOC,new
R3,*CON,new
R3,*CC(C)COC,new
R3,*CCOCC,new
R3,*OCCO,new
R3,*C(C)COC,new
R3,*COC(C)=O,new
R3,*CC(=O)OC,new
R3,*OC(=O)CC,new
R3,*c1ccncc1,new
R3,*c1ccoc1,new
R3,*c1ccsc1,new
R3,*OC(C)C,new
R3,*c1ccccn1,new
R4,*CCCCO,new
R4,*CCCO,new
R4,*CCCN,new
R4,*CCCBr,new
R4,*CCCCl,new
R4,*CC(C)CF,new
R4,*CC(C)CO,new
R4,*CC(C)CN,new
R4,*CC(C)CCl,new
R4,*CC(C)COC,new
R4,*C(F)(F)F,new
R4,*C(C)CO,new
R4,*C(C)COC,new
R4,*CCCCCC,new
R4,*CCBr,new
R4,*CCO,new
R4,*CCN,new
R4,*C1CCCCC1,new
R4,*OCCC,new
R4,*C1CCOCC1,new
R4,*C1CCNCC1,new
R4,*CCOCC,new
