position,substituent,source
R1,*CCN1C(=O)c2ccccc2C1=O,low2
R1,*c1ccccc1C(=O)OC,low2
R1,*c1ccc([N+](=O)[O-])cc1,low2
R1,*c1c(C)cccc1C(=O)OC,low2
R1,*c1cccc([N+](=O)[O-])c1,low2
R1,*c1cccc(C(C)=O)c1,low2
R1,*c1ccccc1Cl,low2
R1,*c1ccc(Cl)cc1,low2
R1,*c1cccc(F)c1,low2
R1,*c1cccc(OC)c1,low2
R1,*c1ccc(OC)cc1,low2
R1,*c1c(C(=O)OC)cccc1[N+](=O)[O-],low2
R1,*Cc1ccccc1,low2
R1,*c1c(C(=O)OC)cccc1C(=O)OC,low2
R1,*c1cc(Cl)cc(Cl)c1,low2
R1,*c1ccc(C)cc1,low2
R1,*CC(F)(F)F,low2
R1,*c1cccc(C)c1,low2
R1,*c1ccccc1C(=O)O,low2
R1,*c1ccccc1,low2
R1,*CC(Cl)(Cl)Cl,low2
R1,*CCCl,low2
R1,*c1c(C)cccc1C(=O)O,low2
R1,*CCF,low2
R1,*c1ccc(C(=O)O)cc1,low2
R2,*CC(F)(F)F,low2
R2,*CCOCCN,low2
R2,*CCNC(=O)OC,low2
R2,*CCNC(=O)C(F)(F)F,low2
R2,*CCCl,low2
R2,*CCNC(=O)C=C,low2
R2,*CCF,low2
R2,*CCCNC(=O)C(F)(F)F,low2
R2,*CCOC(=O)C=C,low2
R2,*CC(Cl)(Cl)Cl,low2
R2,*CCN1C(=O)c2ccccc2C1=O,low2
R2,*CCOCCNC(=O)C=C,low2
R2,*c1ccccc1C(=O)O,low2
R2,*CCOC,low2
R2,*c1c(C(=O)O)cccc1[N+](=O)[O-],low2
R2,*c1ccc([N+](=O)[O-])cc1C(=O)O,low2
R2,*c1c(C(=O)O)cccc1C(=O)O,low2
R2,*CCOC(=O)C(=C)C,low2
R2,*CCCCCCO,low2
R2,*c1cc(Cl)cc(Cl)c1,low2
R3,*c1ccc([N+](=O)[O-])cc1,low2
R3,*c1cccc([N+](=O)[O-])c1,low2
R3,*CBr,low2
R3,*c1ccc(C(=O)O)cc1,low2
R3,*c1ccccc1C(=O)O,low2
R3,*c1ccc(C(=O)OC)cc1,low2
R3,*c1ccc(Cl)cc1,low2
R3,*c1ccccc1C(=O)OC,low2
R3,*OCCCl,low2
R3,*c1ccc(F)cc1,low2
R3,*CCl,low2
R3,*c1ccc(C(F)(F)F)cc1,low2
R3,*c1cccc(Br)c1,low2
R3,*c1cccc(Cl)c1,low2
R3,*c1ccc(Br)cc1,low2
R3,*c1ccccc1Cl,low2
R3,*COC(C)=O,low2
R3,*c1c(Cl)cccc1Cl,low2
R3,*CCc1ccccc1,low2
R3,[H],low2
R3,*C,low2
R3,*CC,low2
R3,*OCCF,low2
R3,*CO,low2
R3,*C(C)C,low2
R4,[H],low2
R4,*CO,low2
R4,*c1ccc(O)cc1,low2
R4,*COC(C)=O,low2
R4,*c1ccc([N+](=O)[O-])cc1,low2
R4,*c1ccco1,low2
R4,*c1ccc(N)cc1,low2
R4,*COC,low2
R4,*c1ccccc1O,low2
R4,*c1ccc(C(=O)O)cc1,low2
R4,*c1ccc(F)cc1,low2
R4,*c1ccccc1C(=O)O,low2
R4,*c1ccc2c(c1)CC(=O)N2O,low2
R4,*c1ccccc1,low2
R4,*c1cccc([N+](=O)[O-])c1,low2
R4,*c1ccc(C(=O)OC)cc1,low2
R4,*c1ccccc1C(=O)OC,low2
R4,*c1ccc(OCCOCCOCCO)cc1,low2
R4,*c1cccc(OC)c1,low2
R4,*c1ccc(OCCOCCOCCOCCO)cc1,low2
R4,*OC,low2
R1,*CCN1CCOCC1,low2
R1,*CC[PH](=O)O,low2
R1,*c1ccoc1,low2
R1,*CCO,low2
R1,*CCN,low2
R1,*CCBr,low2
R1,*CCS,low2
R1,*c1ccc(CN)cc1,low2
R1,*c1ccc(CC)cc1,low2
R2,*CCOCN,low2
R2,*CCOCC,low2
R2,*CCOCF,low2
R2,*CCOCO,low2
R2,*CCNC(C)=O,low2
R2,*CF,low2
R3,*c1ccc(C#N)cc1,low2
R3,*c1ccc(S)cc1,low2
R3,*c1ccc(CF)cc1,low2
R3,*c1ccncc1,low2
R3,*c1ccc(COC)cc1,low2
R3,*c1ccsc1,low2
R3,*C#N,low2
R3,*C(F)(F)F,low2
R3,*CC#N,low2
R3,*CC(=O)O,low2
R3,*NC(C)=O,low2
R3,*OC(C)=O,low2
R4,*CCOC(C)=O,low2
R4,*CCCO,low2
R4,*CN,low2
R4,*CC(C)CO,low2
R4,*CCNCO,low2
R4,*CC(=O)OC,low2
R4,*CC(N)=O,low2
R4,*NCCO,low2
R4,*CC(C)O,low2
R4,*OCCO,low2
R4,*CCNO,low2
R4,*CCSO,low2
R4,*NCC,low2
R1,*CCOCCNC(=O)C=C,middle2to4
R1,*CCCCCCNC(=O)C(F)(F)F,middle2to4
R1,*CCCNC(=O)C(F)(F)F,middle2to4
R1,*CCNC(=O)OC,middle2to4
R1,*C1CCCCC1C(=O)O,middle2to4
R1,*CCNC(=O)C(F)(F)F,middle2to4
R1,*c1c(C(=O)O)cccc1C(=O)O,middle2to4
R1,*CCOCCN,middle2to4
R1,*CCNC(=O)C=C,middle2to4
R1,*CCCCCCO,middle2to4
R1,*C1CCCCC1C(=O)OCC,middle2to4
R1,*c1c(C(=O)O)cccc1[N+](=O)[O-],middle2to4
R1,*CCCOC(=O)C(=C)C,middle2to4
R1,*CCOC(=O)C(=C)C,middle2to4
R1,*C1CCCCC1C(=O)OC,middle2to4
R1,*c1ccc([N+](=O)[O-])cc1C(=O)O,middle2to4
R1,*CC(C)(C)C,middle2to4
R1,*CCOC(=O)CC=C,middle2to4
R1,*C(C)(C)C,middle2to4
R2,*CC,middle2to4
R2,*CCC,middle2to4
R2,*C(C)(C)C,middle2to4
R2,*CC(C)(C)C,middle2to4
R2,*C,middle2to4
R2,*c1ccccc1,middle2to4
R2,*C(C)C,middle2to4
R2,*c1cccc(C)c1,middle2to4
R2,*c1ccc(C)cc1,middle2to4
R2,*CCCC=C,middle2to4
R2,*c1ccc(OC)cc1,middle2to4
R2,*c1cccc(OC)c1,middle2to4
R2,*c1cccc(F)c1,middle2to4
R2,*Cc1ccccc1,middle2to4
R2,*c1cccc(C(C)=O)c1,middle2to4
R2,*c1ccc(C(=O)O)cc1,middle2to4
R2,*CCOC(=O)CC=C,middle2to4
R2,*c1ccc(Cl)cc1,middle2to4
R2,*CCCOC(=O)C(=C)C,middle2to4
R2,*C1CCCCC1C(=O)OC,middle2to4
R2,*c1ccccc1Cl,middle2to4
R2,*c1ccccc1C(=O)OC,middle2to4
R2,*c1cccc([N+](=O)[O-])c1,middle2to4
R2,*c1ccc([N+](=O)[O-])cc1,middle2to4
R2,*c1c(C)cccc1C(=O)O,middle2to4
R3,*OCC,middle2to4
R3,*OC,middle2to4
R3,*c1ccc(OC)cc1,middle2to4
R3,*c1ccc(O)cc1,middle2to4
R3,*c1ccc(OCCOCCOCCOCCO)cc1,middle2to4
R3,*OCCOC,middle2to4
R3,*c1ccc2c(c1)CC(=O)N2O,middle2to4
R3,*c1ccc(OCCOCCOCCO)cc1,middle2to4
R3,*c1c(OC)cc(OC)cc1OC,middle2to4
