Molecule_ID,Source_Molecule_ID,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Train_test_split,"Standardized Experimental_kH (25¡æ, H2O) (L mole-1 s-1)","Standardized Experimental_log_kH (25¡æ, H2O)",Experimental_kH before standardization (L mole-1 s-1),,Reference,DOI
EXP0001,mol_0001,CCOC(C)OCC,acetal,CCC,CCC,CC,C,train,3.80193,0.58000412,0.248,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0002,mol_0002,CCOC(OCC)C(C)C,acetal,CCC,CCC,CC(C)C,C,train,2.51418,0.40039637,0.164,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0003,mol_0003,CCOC(OCC)C(C)(C)C,acetal,CCC,CCC,CC(C)(C)C,C,train,2.88211,0.45971055,0.188,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0004,mol_0004,CCOC(CC(C)C)OCC,acetal,CCC,CCC,CCC(C)C,C,train,2.56017,0.4082688,0.167,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0005,mol_0005,CCOC(CO)OCC,acetal,CCC,CCC,CCO,C,train,0.01298,-1.88672531,0.000847,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0006,mol_0006,CCOC(CC)OCC,acetal,CCC,CCC,CCC,C,train,4.09321,0.61206403,0.267,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0007,mol_0007,CCOC(Cc1ccccc1)OCC,acetal,CCC,CCC,CCc1ccccc1,C,train,0.13337,-0.87494185,0.0087,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0008,mol_0008,CCOC(CCl)OCC,acetal,CCC,CCC,CCCl,C,train,0.000157903,-3.80160962,1.03e-5,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0009,mol_0009,CCOC(OCC)C(CC)CC,acetal,CCC,CCC,CCC(C)CC,C,test,4.78308,0.67970764,0.312,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
EXP0010,mol_0010,CCOC(CCc1ccccc1)OCC,acetal,CCC,CCC,CCCc1ccccc1,C,train,0.44151,-0.35505946,0.0288,"25¡æ, H2O/dioxane(50:50)",The Evaluation of Inductive and Resonance Effects on Reactivity. I. Hydrolysis Rates of Acetals of Non-conjugated Aldehydes and Ketonesl,10.1021/ja01626a040
