Molecule_ID,SMILES,R4:FractionCSP3,R3:HeavyAtomCount,R4:MolLogP,R3:MolWt,R3:MolLogP,R1:HeteroAtomCount,R1:MolWt,R3:NumAromaticRings,R1:FractionCSP3,R1:HeavyAtomCount,R3:RingCount,R4:MolWt,R1:NumAromaticRings,R4:HeavyAtomCount,R1:HalogenCount,R1:RingCount,R2:HalogenCount,R1:TPSA,R3:FractionCSP3,R1:NumHDonors,R2:HeteroAtomCount,R1:NumHAcceptors,R3:NumHAcceptors,R1:MolLogP,R3_VIP,R3_HOMO,R3_ODI_LUMO_Add1,R3_E_HOMO(N-1),R3_X,R1_Volume,R2_Volume,R3_Volume,R4_Volume,Cacetal-s-,Cacetal-q(N+1),Cacetal-q(N),Overall_Average,E_HOMO(N-1),Pos_Average,VIP,Polar_Area,g_MolWt,g_HeavyAtomCount,g_HeteroAtomCount,g_HalogenCount,g_FormalCharge,g_NumValenceElectrons,g_NumRadicalElectrons,g_NumHAcceptors,g_NumHDonors,g_TPSA,Experimental_log_kH,Train_test_split
EXP0001,CCOC(C)OCC,1,2,0.6361,30.07,1.0262,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.330451,-0.334193,13.07,-0.391093,0.12226,594.14832,594.14832,436.72073,279.61408,0.16753334,0.058933333,0.121533334,-0.000542813,-0.30435833,0.01370483,0.24831466,41.296665,118.176,8,2,0,0,50,0,2,0,18.46,0.58000412,train
EXP0002,CCOC(OCC)C(C)C,1,4,0.6361,58.124,1.6623,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.305326,-0.311233,10.87,-0.36235,0.116356,594.14832,594.14832,749.18697,279.61408,0.13853334,0.07743333,0.12103333,-0.000308687,-0.30596533,0.012708194,0.24849467,39.123333,146.23,10,2,0,0,62,0,2,0,18.46,0.40039637,train
EXP0003,CCOC(OCC)C(C)(C)C,1,5,0.6361,72.151,2.0524,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.30191,-0.307804,7.84,-0.35245,0.119151,594.14832,594.14832,899.98739,279.61408,0.12593333,0.0883,0.1222,-0.000649243,-0.30598834,0.012155537,0.24844667,36.926666,160.257,11,2,0,0,68,0,2,0,18.46,0.45971055,train
EXP0004,CCOC(CC(C)C)OCC,1,5,0.6361,72.151,2.0524,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.296322,-0.301867,8.59,-0.350002,0.110827,594.14832,594.14832,901.85128,279.61408,0.16163333,0.060833335,0.12116667,-0.000312417,-0.301458,0.011967924,0.24550833,33.893333,160.257,11,2,0,0,68,0,2,0,18.46,0.4082688,train
EXP0005,CCOC(CO)OCC,1,3,0.6361,46.069,-0.0014,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,1,1.4163,0.266542,-0.266789,12.52,-0.377954,0.105375,594.14832,594.14832,500.38591,279.61408,0.1644,0.07926667,0.1148,-0.00074695,-0.29666534,0.017643522,0.24856767,51.9,134.175,9,3,0,0,56,0,3,1,38.69,-1.88672531,train
EXP0006,CCOC(CC)OCC,1,3,0.6361,44.097,1.4163,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.312695,-0.318256,11.07,-0.374522,0.116066,594.14832,594.14832,594.14832,279.61408,0.1499,0.0729,0.12083333,-0.000913743,-0.30241168,0.01253759,0.25034267,38.676666,132.203,9,2,0,0,56,0,2,0,18.46,0.61206403,train
EXP0007,CCOC(Cc1ccccc1)OCC,1,8,0.6361,106.168,2.249,0,44.097,1,1,3,1,16.043,0,1,0,0,0,0,0.25,0,0,0,0,1.4163,0.229781,-0.237194,14.61,-0.287178,0.117991,594.14832,594.14832,1083.40181,279.61408,0.0955,0.11683334,0.12263333,-0.002037993,-0.26713768,0.012974537,0.231429,42.826668,194.274,14,2,0,0,78,0,2,0,18.46,-0.87494185,train
EXP0008,CCOC(CCl)OCC,1,3,0.6361,64.515,1.2451,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.303946,-0.29182,13.93,-0.387939,0.13833,594.14832,594.14832,584.03237,279.61408,0.1633,0.08293334,0.120733336,0.00046853,-0.30588168,0.02052082,0.256993,62.9,152.621,9,3,1,0,56,0,2,0,18.46,-3.80160962,train
EXP0009,CCOC(OCC)C(CC)CC,1,6,0.6361,86.178,2.4425,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.288049,-0.294467,7.05,-0.341068,0.107624,594.14832,594.14832,1051.4122,279.61408,0.15693334,0.0573,0.12173333,-0.0005143,-0.29910633,0.011026383,0.24653167,32.05,174.284,12,2,0,0,74,0,2,0,18.46,0.67970764,test
EXP0010,CCOC(CCc1ccccc1)OCC,1,9,0.6361,120.195,2.6391,0,44.097,1,1,3,1,16.043,0,1,0,0,0,0,0.333333333333333,0,0,0,0,1.4163,0.229113,-0.23655,14.77,-0.286472667,0.117802333333333,594.14832,594.14832,1238.77179,279.61408,0.046833333,0.1187,0.1214,-0.000865247,-0.26109934,0.013988056,0.229319,45.453335,208.301,15,2,0,0,84,0,2,0,18.46,-0.35505946,train
EXP0011,CCOCOCC,1,1,0.6361,16.043,0.6361,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,0,1.4163,0.382793,-0.383609,28.36,-0.476302,0.144823,594.14832,594.14832,279.61408,279.61408,0.2034,-0.004833333,0.09386667,-0.00012611,-0.30515066,0.012115466,0.256313,39.103333,104.149,7,2,0,0,44,0,2,0,18.46,-3.1984975,train
EXP0012,CCOC(C)(C)OCC,1,2,1.0262,30.07,1.0262,0,44.097,0,1,3,0,30.07,0,2,0,0,0,0,1,0,0,0,0,1.4163,0.330451,-0.334193,13.07,-0.391093,0.12226,594.14832,594.14832,436.72073,436.72073,0.13713333,0.1336,0.1508,-0.00150611,-0.29517335,0.012731023,0.24469067,38.586666,132.203,9,2,0,0,56,0,2,0,18.46,4.06177046,train
EXP0013,CCOC(C)(CC(C)(C)C)OCC,1,6,1.0262,86.178,2.4425,0,44.097,0,1,3,0,30.07,0,2,0,0,0,0,1,0,0,0,0,1.4163,0.290422,-0.295857,7.82,-0.34476,0.112272,594.14832,594.14832,1047.77658,436.72073,0.1298,0.14316666,0.1537,-0.000631447,-0.29345635,0.0112275,0.24346867,30.34,188.311,13,2,0,0,80,0,2,0,18.46,5.14934045,test
EXP0014,CCOC(C)(CC)OCC,1,3,1.0262,44.097,1.4163,0,44.097,0,1,3,0,30.07,0,2,0,0,0,0,1,0,0,0,0,1.4163,0.312695,-0.318256,11.07,-0.374522,0.116066,594.14832,594.14832,594.14832,436.72073,0.11033333,0.13966666,0.15013333,-0.000595447,-0.30121133,0.010441673,0.24771,27.346666,146.23,10,2,0,0,62,0,2,0,18.46,4.04288512,train
EXP0015,CCOC(C=Cc1ccccc1)OCC,1,9,0.6361,118.179,2.7197,0,44.097,1,1,3,1,16.043,0,1,0,0,0,0,0.111111111111111,0,0,0,0,1.4163,0.205521,-0.213487,16.14,-0.270193,0.120335,594.14832,594.14832,1178.57019,279.61408,0.0959,0.09576666,0.11773334,-0.001896227,-0.27262166,0.0134946,0.21502733,45.683334,206.285,15,2,0,0,82,0,2,0,18.46,3.36739621,test
EXP0016,CCOC(C)(CCl)OCC,1,3,1.0262,64.515,1.2451,0,44.097,0,1,3,0,30.07,0,2,0,0,0,0,1,0,0,0,0,1.4163,0.303946,-0.29182,13.93,-0.387939,0.13833,594.14832,594.14832,584.03237,436.72073,0.12296667,0.124966666,0.1494,1.6663333e-05,-0.30066165,0.017279623,0.25569433,51.79,166.648,10,3,1,0,62,0,2,0,18.46,0.12005049,train
EXP0017,CCOCC(OCC)OCC,1,5,0.6361,74.123,1.0428,0,44.097,0,1,3,0,16.043,0,1,0,0,0,0,1,0,0,0,1,1.4163,0.248082,-0.251502,7.74,-0.361678,0.084984,594.14832,594.14832,823.9702,279.61408,0.0894,0.06893333,0.11613333,-0.00290671,-0.27897066,0.011595533,0.24754134,37.123333,162.229,11,3,0,0,68,0,3,0,27.69,-1.87909718,train
EXP0018,CCOC(C)(Cc1ccccc1)OCC,1,8,1.0262,106.168,2.249,0,44.097,1,1,3,1,30.07,0,2,0,0,0,0,0.25,0,0,0,0,1.4163,0.229781,-0.237194,14.61,-0.287178,0.117991,594.14832,594.14832,1083.40181,436.72073,0.10063333,0.1479,0.153,-0.002842763,-0.26880768,0.013377213,0.227539,42.673332,208.301,15,2,0,0,84,0,2,0,18.46,3.11240933,train
EXP0019,CCOC(C)(COc1ccccc1)OCC,1,9,1.0262,122.167,2.0853,0,44.097,1,1,3,1,30.07,0,2,0,0,0,0,0.25,0,0,0,1,1.4163,0.210811,-0.217744,15.16,-0.286615,0.110136,594.14832,594.14832,1147.28092666667,436.72073,0.0185,0.14393333,0.14623334,-0.00196169,-0.26605067,0.01444624,0.214328,44.433334,224.3,16,3,0,0,90,0,3,0,27.69,0.72962072,test
EXP0020,CCOC(C)(CO)OCC,1,3,1.0262,46.069,-0.0014,0,44.097,0,1,3,0,30.07,0,2,0,0,0,0,1,0,0,0,1,1.4163,0.266542,-0.266789,12.52,-0.377954,0.105375,594.14832,594.14832,500.38591,436.72073,0.13996667,0.1294,0.1433,1.499e-05,-0.29503933,0.01664921,0.24918066,46.32,148.202,10,3,0,0,62,0,3,1,38.69,2.25001062,train
