Molecule_ID,Source_Molecule_ID,SMILES,Molecule_class,Cacetal-q(N),Cacetal-q(N+1),Cacetal-s-,E_HOMO(N-1),VIP,Overall_Average,Pos_Average,Polar_Area,Split_Cacetal_q_N,Split_Cacetal_q_Nplus1,Split_Cacetal_s_minus,Split_E_HOMO_Nminus1,Split_VIP,Split_Overall_Average,Split_Pos_Average,Split_Polar_Area
DFT0001,acetal1500_000001,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1579,0.1401,0.0609,-0.269986,0.217914,0.00054025,0.01639061,48.09,train,train,train,train,train,train,train,train
DFT0002,acetal1500_000002,COc1ccc(C(C=Cc2ccccc2)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1584,0.1418,0.0568,-0.23695,0.206871,-0.00071768,0.01324121,43.19,train,train,train,train,train,train,train,train
DFT0003,acetal1500_000003,CCOC(C=Cc1ccccc1)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.2129,0.1971,0.0623,-0.280988,0.218743,-0.00031141,0.01448177,43.33,train,train,train,train,test,train,train,train
DFT0004,acetal1500_000004,CC(C)(C)COC(C=Cc1ccccc1)OCC(Cl)(Cl)Cl,acetal,0.1258,0.1057,0.0979,-0.277033,0.217208,0.00105018,0.01631179,47.82,train,train,train,train,train,train,train,train
DFT0005,acetal1500_000005,Cc1ccc(C(C=Cc2ccccc2)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.1576,0.1424,0.0559,-0.245639,0.217455,-0.00028897,0.01327654,42.21,train,train,train,train,train,train,train,train
DFT0006,acetal1500_000006,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(Cl)cc1,ketal,0.1591,0.1428,0.0566,-0.253385,0.218208,0.00249682,0.01618254,47.24,test,validation,train,train,train,train,train,train
DFT0007,acetal1500_000007,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc(F)cc1,ketal,0.1602,0.1472,0.0538,-0.252391,0.216346,0.00147824,0.01424947,37.08,validation,train,train,train,train,test,test,train
DFT0008,acetal1500_000008,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,ketal,0.1621,0.1548,0.0941,-0.273168,0.217444,0.0055587,0.01940612,52.88,validation,validation,train,train,validation,train,test,train
DFT0009,acetal1500_000009,CC(C)(C)COC(C=Cc1ccccc1)(OCC(Cl)(Cl)Cl)c1ccccc1,ketal,0.1586,0.1428,0.0624,-0.255963,0.215919,-0.00059308,0.01397502,45.92,validation,test,train,train,train,test,train,train
DFT0010,acetal1500_000010,CC(C)(C)COC(CBr)(OCC(Cl)(Cl)Cl)C1CC1,ketal,0.1571,0.1519,0.134,-0.302957,0.260921,0.00211112,0.01644867,33.8,train,validation,test,train,train,validation,train,train
DFT0011,acetal1500_000011,COc1ccc(C(CBr)(OCC(C)(C)C)OCC(Cl)(Cl)Cl)cc1,ketal,0.158,0.1535,0.0572,-0.271005,0.217699,-0.00052553,0.020184,43.5,test,validation,test,train,train,train,validation,train
DFT0012,acetal1500_000012,COC(CBr)(OCC(C)(C)C)OCC(Cl)(Cl)Cl,orthoester,0.212,0.2078,0.1366,-0.31425,0.272082,-0.00013162,0.01784262,44.28,train,train,validation,train,train,train,train,test
DFT0013,acetal1500_000013,CC(C)(C)COC(CBr)OCC(Cl)(Cl)Cl,acetal,0.1275,0.121,0.1577,-0.309317,0.265974,0.0035897,0.01812307,42.54,train,train,train,train,train,train,train,validation
