Candidate_ID,Source_Molecule_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,SA_score,logP,Predicted_log_kH,Prediction_uncertainty,High_value_flag,Beyond_limit_flag
HTS000001,virt_molwt_v1_full_0000616,1,CCCCCCCCCCC(OC)(OCC)OCC,orthoester,CC*,C(C)*,O(C)*,CCCCCCCCCC*,2.632814110433081,4.890400000000005,7.0816513,0.7010720754604249,TRUE,TRUE
HTS000002,virt_molwt_v1_full_0027135,2,CCCCCCCCCCC(OC)(OC)OC,orthoester,C*,C*,CO*,CCCCCCCCCC*,2.521444323248085,4.110200000000003,7.04938398,0.5598221584065798,TRUE,TRUE
HTS000003,virt_molwt_v1_full_0000615,3,CCCCCCCCCCC(OC)(OC)OCC,orthoester,C(C)*,C*,CO*,CCCCCCCCCC*,2.59734557983807,4.500300000000004,7.031499939999999,0.6732858089428636,TRUE,TRUE
HTS000004,virt_molwt_v1_full_0039615,4,CCCCCCCCCCC(OC)(OC)OCCC,orthoester,CCC*,C*,CO*,CCCCCCCCCC*,2.624396693887362,4.890400000000005,6.98719258,0.7179461438869337,TRUE,TRUE
HTS000005,virt_molwt_v1_full_0032595,5,CCCCCCCCCCC(OC)(OC)OC(C)C,orthoester,CC(C)*,C*,CO*,CCCCCCCCCC*,2.665910186128068,4.888800000000004,6.950800119999999,0.6199745504084323,TRUE,TRUE
HTS000006,virt_molwt_v1_full_0007636,6,CCCCCCCCCCC(OCC)(OCC)OCCOC,orthoester,C(COC)*,CC*,O(CC)*,CCCCCCCCCC*,2.686410950238866,4.9070000000000045,6.62064152,0.6518957383741987,TRUE,TRUE
HTS000007,virt_molwt_v1_full_0598876,7,CCCCCCCCCCC(OCC)(OCCC)OCCOCCN,orthoester,C(COCCN)*,C(CC)*,CCO*,CCCCCCCCCC*,3.2646819343982765,4.626000000000003,6.41203932,0.7159706170002046,TRUE,TRUE
HTS000008,virt_molwt_v1_full_0148035,8,CCCCCCCCCCC(OC)(OCCOCCN)Oc1ccccc1,orthoester,C(COCCN)*,c1(*)ccccc1,CO*,CCCCCCCCCC*,3.032362760568031,4.888300000000004,6.40286052,0.7787504942863445,TRUE,TRUE
HTS000009,virt_molwt_v1_full_0007635,9,CCCCCCCCCCC(OC)(OCC)OCCOC,orthoester,C(COC)*,C(C)*,CO*,CCCCCCCCCC*,3.086866117687902,4.516900000000004,6.40276028,0.5948856117900932,TRUE,TRUE
HTS000010,virt_molwt_v1_full_0015436,10,CCCCCCCCCCC(OCC)(OCC)OCCOCCN,orthoester,C(COCCN)*,CC*,O(CC)*,CCCCCCCCCC*,2.8210454736732764,4.235900000000003,6.39553378,0.7795846912618754,TRUE,TRUE
HTS000011,virt_molwt_v1_full_0570015,11,CCCCCCCCCCC(OC)(OCCC)OCCOC,orthoester,COCC*,CCC*,CO*,CCCCCCCCCC*,3.1155336241358915,4.9070000000000045,6.3843386,0.53308967556653,TRUE,TRUE
HTS000012,virt_molwt_v1_full_0227596,12,CCCCCCCCCCC(OCC)(OCCOCCN)OC(C)C,orthoester,C(COCCN)*,C(C)(C)*,CCO*,CCCCCCCCCC*,3.313541779623474,4.624400000000003,6.34905514,0.6664196533148391,TRUE,TRUE
HTS000013,virt_molwt_v1_full_0024015,13,CCCCCCCCCCC(OC)(OCC)OCCF,orthoester,FCC*,C(C)*,CO*,CCCCCCCCCC*,3.3003603498272787,4.840000000000004,6.33385258,0.53100437803894,TRUE,TRUE
HTS000014,virt_molwt_v1_full_0625395,14,CCCCCCCCCCC(OC)(OCCOCCN)OCC(C)(C)C,orthoester,C(COCCN)*,CC(C)(C)C*,CO*,CCCCCCCCCC*,3.401134483459943,4.872000000000003,6.331119080000001,0.7040633527464485,TRUE,TRUE
HTS000015,virt_molwt_v1_full_0005296,15,C=CC(=O)NCCOC(CCCCCCCCCC)(OCC)OCC,orthoester,C(CNC(=O)C=C)*,CC*,O(CC)*,CCCCCCCCCC*,2.867531455956863,4.562800000000004,6.312931660000001,0.7591874822103949,TRUE,TRUE
HTS000016,virt_molwt_v1_full_0599656,16,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCC)OCCC,orthoester,C=CC(=O)NCCOCC*,C(CC)*,CCO*,CCCCCCCCCC*,3.367416585311129,4.9695000000000045,6.30497954,0.7899557200235935,TRUE,TRUE
HTS000017,virt_molwt_v1_full_0034155,17,CCCCCCCCCCC(OC)(OC)OCCOC,orthoester,C(COC)*,C*,CO*,CCCCCCCCCC*,2.63373282835847,4.126800000000003,6.304754000000001,0.5535981948406226,TRUE,TRUE
HTS000018,virt_molwt_v1_full_0278296,18,C=CC(=O)NCCOC(CCCCCCCCCC)(OCC)OCCC,orthoester,C=CC(=O)NCC*,CCC*,CCO*,CCCCCCCCCC*,3.3108162274009327,4.952900000000005,6.3031237,0.7130213085232278,TRUE,TRUE
HTS000019,virt_molwt_v1_full_0016216,19,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCC)OCC,orthoester,C=CC(=O)NCCOCC*,CC*,O(CC)*,CCCCCCCCCC*,2.921696541741534,4.579400000000003,6.28370058,0.8491273166823203,TRUE,TRUE
HTS000020,virt_molwt_v1_full_0228376,20,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCC)OC(C)C,orthoester,C=CC(=O)NCCOCC*,C(C)(C)*,CCO*,CCCCCCCCCC*,3.4094261120987053,4.967900000000005,6.280757759999999,0.7481166576783667,TRUE,TRUE
HTS000021,virt_molwt_v1_full_0219795,21,CCCCCCCCCCC(OC)(OCCOC)OC(C)C,orthoester,C(COC)*,C(C)(C)*,CO*,CCCCCCCCCC*,3.1507590888879555,4.905400000000005,6.26811988,0.4439336883824132,TRUE,TRUE
HTS000022,virt_molwt_v1_full_0217456,22,C=CC(=O)NCCOC(CCCCCCCCCC)(OCC)OC(C)C,orthoester,C(CNC(=O)C=C)*,C(C)(C)*,CCO*,CCCCCCCCCC*,3.3585479449984046,4.951300000000004,6.26271458,0.6672315932286191,TRUE,TRUE
HTS000023,virt_molwt_v1_full_0050535,23,CCCCCCCCCCC(OC)(OC)OCCF,orthoester,FCC*,C*,CO*,CCCCCCCCCC*,2.860789727269076,4.449900000000004,6.255182280000001,0.5239586876380213,TRUE,TRUE
HTS000024,virt_molwt_v1_full_0015435,24,CCCCCCCCCCC(OC)(OCC)OCCOCCN,orthoester,C(COCCN)*,C(C)*,CO*,CCCCCCCCCC*,3.223302488863607,3.8458000000000014,6.25129664,0.7328539267209355,TRUE,TRUE
HTS000025,virt_molwt_v1_full_0598875,25,CCCCCCCCCCC(OC)(OCCC)OCCOCCN,orthoester,C(COCCN)*,C(CC)*,CO*,CCCCCCCCCC*,3.249081802511188,4.235900000000003,6.24909622,0.6671944437884011,TRUE,TRUE
HTS000026,virt_molwt_v1_full_0121515,26,CCCCCCCCCCC(OC)(OCCOCCN)OC(C)(C)C,orthoester,C(COCCN)*,C(C)(C)(C)*,CO*,CCCCCCCCCC*,3.29746668167794,4.624400000000003,6.24056834,0.6368876341208755,TRUE,TRUE
HTS000027,virt_molwt_v1_full_0678435,27,C=CCCCOC(CCCCCCCCCC)(OC)OCCOCCN,orthoester,C(COCCN)*,C(CCC=C)*,CO*,CCCCCCCCCC*,3.3909770510275106,4.792100000000004,6.23125328,0.6848429451183838,TRUE,TRUE
HTS000028,virt_molwt_v1_full_0033375,28,CCCCCCCCCCC(OC)(OC)OCCCl,orthoester,ClCC*,C*,CO*,CCCCCCCCCC*,2.78424923380028,4.719200000000004,6.21940014,0.5657628295216913,TRUE,TRUE
HTS000029,virt_molwt_v1_full_0014656,29,CCCCCCCCCCC(OCC)(OCC)OCCNC(=O)OC,orthoester,C(CNC(=O)OC)*,CC*,O(CC)*,CCCCCCCCCC*,2.7458989284843334,4.616600000000004,6.214451540000001,0.7624253086230273,TRUE,TRUE
HTS000030,virt_molwt_v1_full_0227595,30,CCCCCCCCCCC(OC)(OCCOCCN)OC(C)C,orthoester,C(COCCN)*,C(C)(C)*,CO*,CCCCCCCCCC*,3.2822830620505936,4.234300000000003,6.16584278,0.5860148664866086,TRUE,TRUE
HTS000031,virt_molwt_v1_full_1326615,31,CCCCCCCCCCC(OC)(OC)Oc1c(C(=O)O)cccc1C(=O)O,orthoester,c1(*)c(C(=O)O)cccc1C(=O)O,C*,CO*,CCCCCCCCCC*,2.667864287919407,4.939200000000004,6.1614926400000005,0.9342345798378447,TRUE,TRUE
HTS000032,virt_molwt_v1_full_0122295,32,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OC)OC(C)(C)C,orthoester,C=CC(=O)NCCOCC*,C(C)(C)(C)*,CO*,CCCCCCCCCC*,3.395257992440584,4.967900000000005,6.16126734,0.7194250005289239,TRUE,TRUE
HTS000033,virt_molwt_v1_full_0016215,33,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OC)OCC,orthoester,C=CC(=O)NCCOCC*,C(C)*,CO*,CCCCCCCCCC*,3.320014457858595,4.189300000000003,6.157992180000001,0.8417620398006849,TRUE,TRUE
HTS000034,virt_molwt_v1_full_0599655,34,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OC)OCCC,orthoester,C=CC(=O)NCCOCC*,C(CC)*,CO*,CCCCCCCCCC*,3.348169817139957,4.579400000000003,6.151402340000001,0.7651673765960088,TRUE,TRUE
HTS000035,virt_molwt_v1_full_0005295,35,C=CC(=O)NCCOC(CCCCCCCCCC)(OC)OCC,orthoester,C(CNC(=O)C=C)*,C(C)*,CO*,CCCCCCCCCC*,3.269827723359436,4.172700000000003,6.149156,0.7263907931725898,TRUE,TRUE
HTS000036,virt_molwt_v1_full_0041955,36,CCCCCCCCCCC(OC)(OC)OCCOCCN,orthoester,C(COCCN)*,C*,CO*,CCCCCCCCCC*,2.7741419676085943,3.455700000000001,6.14504626,0.6975102883674493,TRUE,TRUE
HTS000037,virt_molwt_v1_full_0278295,37,C=CC(=O)NCCOC(CCCCCCCCCC)(OC)OCCC,orthoester,C=CC(=O)NCC*,CCC*,CO*,CCCCCCCCCC*,3.2952470543487493,4.562800000000004,6.1339376,0.6781243001611429,TRUE,TRUE
HTS000038,virt_molwt_v1_full_0111375,38,C=CC(=O)NCCOC(CCCCCCCCCC)(OC)OC(C)(C)C,orthoester,C(CNC(=O)C=C)*,C(C)(C)(C)*,CO*,CCCCCCCCCC*,3.3431420945108634,4.951300000000004,6.1203039200000005,0.6473828223781856,TRUE,TRUE
HTS000039,virt_molwt_v1_full_0228375,39,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OC)OC(C)C,orthoester,C=CC(=O)NCCOCC*,C(C)(C)*,CO*,CCCCCCCCCC*,3.376432509073146,4.577800000000003,6.08628298,0.6861652880829877,TRUE,FALSE
HTS000040,virt_molwt_v1_full_0031815,40,C=CC(=O)NCCOC(CCCCCCCCCC)(OC)OC,orthoester,C(CNC(=O)C=C)*,C*,CO*,CCCCCCCCCC*,2.821290734512296,3.782600000000002,6.072713779999999,0.6949635473689778,TRUE,FALSE
HTS000041,virt_molwt_v1_full_0598095,41,CCCCCCCCCCC(OC)(OCCC)OCCNC(=O)OC,orthoester,C(CNC(=O)OC)*,C(CC)*,CO*,CCCCCCCCCC*,3.17361452687622,4.616600000000004,6.0719818,0.6717951933907119,TRUE,FALSE
HTS000042,virt_molwt_v1_full_0217455,42,C=CC(=O)NCCOC(CCCCCCCCCC)(OC)OC(C)C,orthoester,C(CNC(=O)C=C)*,C(C)(C)*,CO*,CCCCCCCCCC*,3.3277295579321207,4.561200000000004,6.070448079999999,0.609670467359758,TRUE,FALSE
HTS000043,virt_molwt_v1_full_0014655,43,CCCCCCCCCCC(OC)(OCC)OCCNC(=O)OC,orthoester,C(CNC(=O)OC)*,C(C)*,CO*,CCCCCCCCCC*,3.14274896331351,4.226500000000003,6.0624032,0.7273765545349836,TRUE,FALSE
HTS000044,virt_molwt_v1_full_0042735,44,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OC)OC,orthoester,C=CC(=O)NCCOCC*,C*,CO*,CCCCCCCCCC*,2.8693650005279387,3.7992000000000017,6.052647540000001,0.8091562971231198,TRUE,FALSE
HTS000045,virt_molwt_v1_full_0021676,45,C=CC(=O)OCCOC(CCCCCCCCCC)(OCC)OCC,orthoester,C(COC(=O)C=C)*,CC*,O(CC)*,CCCCCCCCCC*,2.8603096977151043,4.989800000000005,6.03270838,0.6122699691819955,TRUE,FALSE
HTS000046,virt_molwt_v1_full_0572356,46,CCCCCCCCCCC(OCC)(OCCOC)OCCOCCN,orthoester,C(COCCN)*,COCC*,CCO*,CCCCCCCCCC*,3.2782824564329163,3.862400000000002,5.9774321,0.6793780533218894,TRUE,FALSE
HTS000047,virt_molwt_v1_full_0564556,47,CCCCCCCCCCC(OCC)(OCCOC)OCCOC,orthoester,COCC*,C(COC)*,CCO*,CCCCCCCCCC*,2.7307970573836826,4.533500000000004,5.976289940000001,0.5558366952993248,TRUE,FALSE
HTS000048,virt_molwt_v1_full_0016995,48,C=C(C)C(=O)OCCOC(CCCCCCCCCC)(OC)OCC,orthoester,C=C(C)C(=O)OCC*,C(C)*,CO*,CCCCCCCCCC*,3.256459992714729,4.989800000000005,5.97265898,0.6702378062398461,TRUE,FALSE
HTS000049,virt_molwt_v1_full_0226815,49,CCCCCCCCCCC(OC)(OCCNC(=O)OC)OC(C)C,orthoester,C(CNC(=O)OC)*,C(C)(C)*,CO*,CCCCCCCCCC*,3.204334240206368,4.615000000000004,5.967472339999999,0.5815589230026466,TRUE,FALSE
HTS000050,virt_molwt_v1_full_0041175,50,CCCCCCCCCCC(OC)(OC)OCCNC(=O)OC,orthoester,C(CNC(=O)OC)*,C*,CO*,CCCCCCCCCC*,2.688255157589218,3.836400000000002,5.95576362,0.6934972012671008,TRUE,FALSE
HTS000051,virt_molwt_v1_full_1341436,51,CCCCCCCCCCC(OCC)(OCCOCCN)Oc1c(C(=O)O)cccc1C(=O)O,orthoester,c1(*)c(C(=O)O)cccc1C(=O)O,C(COCCN)*,CCO*,CCCCCCCCCC*,3.3508731511966268,4.674800000000003,5.947220639999999,0.8008330889799562,TRUE,FALSE
HTS000052,virt_molwt_v1_full_0573136,52,C=CC(=O)NCCOCCOC(CCCCCCCCCC)(OCC)OCCOC,orthoester,C=CC(=O)NCCOCC*,COCC*,CCO*,CCCCCCCCCC*,3.384738370625876,4.205900000000002,5.93169116,0.7416506455772301,TRUE,FALSE
HTS000053,virt_molwt_v1_full_0045075,53,C=C(C)C(=O)OCCCOC(CCCCCCCCCC)(OC)OC,orthoester,C=C(C)C(=O)OCCC*,C*,CO*,CCCCCCCCCC*,2.811370968618114,4.989800000000005,5.91356384,0.6968817579688152,TRUE,FALSE
HTS000054,virt_molwt_v1_full_0580936,54,CCCCCCCCCCC(OCC)(OCCF)OCCOC,orthoester,COCC*,FCC*,CCO*,CCCCCCCCCC*,3.3255084060233697,4.856600000000005,5.90014312,0.4462414683918266,TRUE,FALSE
HTS000055,virt_molwt_v1_full_1333635,55,CCCCCCCCCCC(OC)(OCCOC)Oc1c(C(=O)O)cccc1C(=O)O,orthoester,c1(*)c(C(=O)O)cccc1C(=O)O,C(COC)*,CO*,CCCCCCCCCC*,3.192290137670236,4.955800000000004,5.87746752,0.8384687668942484,TRUE,FALSE
