Substituent_ID,Substituent_SMILES,Allowed_site,Source_type,Original_source_label,Background_count,High_value_count,Background_frequency,High_value_frequency,Enrichment_delta,Selected_as_enriched_flag,Mutation_parent_ID,Mutation_parent_SMILES
SUB-R1-001,*c1c(C(=O)O)cccc1C(=O)O,R1,enriched,base,13765,1427,0.0295701003643362,0.1137686358925297,0.0841985355281934,TRUE,NA,NA
SUB-R1-002,*CCOCCNC(=O)C=C,R1,enriched,base,24883,1677,0.0534538908365986,0.1337000717531691,0.0802461809165704,TRUE,NA,NA
SUB-R1-003,*C1CCCCC1C(=O)O,R1,enriched,base,13657,831,0.0293380937650374,0.0662520928007653,0.0369139990357279,TRUE,NA,NA
SUB-R1-004,*CCOCCN,R1,enriched,base,8446,558,0.0181437753488691,0.0444869648409471,0.0263431894920779,TRUE,NA,NA
SUB-R1-005,*CC(C)(C)C,R1,enriched,base,3854,363,0.0082791984601636,0.0289404448696484,0.0206612464094848,TRUE,NA,NA
SUB-R1-006,*CCNC(=O)C=C,R1,enriched,base,11282,533,0.024236096789716,0.0424938212548832,0.0182577244651671,TRUE,NA,NA
SUB-R1-007,*C(C)C,R1,enriched,base,2131,270,0.0045778339176462,0.0215259507294905,0.0169481168118443,TRUE,NA,NA
SUB-R1-008,*C(C)(C)C,R1,enriched,base,2658,279,0.0057099401938544,0.0222434824204735,0.0165335422266191,TRUE,NA,NA
SUB-R1-009,*CCC,R1,enriched,base,1624,249,0.0034886918264934,0.0198517101171968,0.0163630182907034,TRUE,NA,NA
SUB-R1-010,*CCNC(=O)OC,R1,enriched,base,13163,554,0.0282768783941706,0.0441680618671769,0.0158911834730062,TRUE,NA,NA
SUB-R1-011,*CCCCCCO,R1,enriched,base,9207,438,0.0197785625902247,0.0349198756278402,0.0151413130376154,TRUE,NA,NA
SUB-R1-012,*CC,R1,enriched,base,1191,189,0.0025585172200453,0.0150681655106433,0.012509648290598,TRUE,NA,NA
SUB-R1-013,*CCOC,R1,enriched,base,4466,253,0.0095939025228569,0.020170613090967,0.0105767105681101,TRUE,NA,NA
SUB-R1-014,*CCCC=C,R1,enriched,base,3789,199,0.0081395648587337,0.0158654229450689,0.0077258580863352,TRUE,NA,NA
SUB-R1-015,*CCCCCCNC(=O)C(F)(F)F,R1,enriched,base,14271,459,0.0306570942462363,0.0365941162401339,0.0059370219938976,TRUE,NA,NA
SUB-R1-016,*CCF,R1,enriched,base,2985,146,0.0064124046195091,0.0116399585426134,0.0052275539231042,TRUE,NA,NA
SUB-R1-017,*C,R1,enriched,base,583,81,0.001252405994363,0.0064577852188471,0.005205379224484,TRUE,NA,NA
SUB-R1-018,*C1CCCCC1C(=O)OCC,R1,enriched,base,13452,399,0.0288977108682202,0.0318105716335804,0.0029128607653602,TRUE,NA,NA
SUB-R1-019,*CCCl,R1,enriched,base,4737,149,0.0101760672303567,0.011879135772941,0.0017030685425843,TRUE,NA,NA
SUB-R1-020,*C,R2,enriched,base,25800,1560,0.0554237987213858,0.1243721597703898,0.068948361049004,TRUE,NA,NA
SUB-R1-021,*CC,R2,enriched,base,25092,1538,0.0539028665704268,0.1226181934146535,0.0687153268442267,TRUE,NA,NA
SUB-R1-022,*CCC,R2,enriched,base,20910,1148,0.0449190554753557,0.0915251534720561,0.0466060979967003,TRUE,NA,NA
SUB-R1-023,*C(C)C,R2,enriched,base,20456,933,0.0439437684745995,0.0743841186319062,0.0304403501573066,TRUE,NA,NA
SUB-R1-024,*C(C)(C)C,R2,enriched,base,15720,698,0.0337698494534955,0.0556485689229052,0.0218787194694096,TRUE,NA,NA
SUB-R1-025,*c1ccccc1,R2,enriched,base,12314,538,0.0264530487385715,0.0428924499720959,0.0164394012335244,TRUE,NA,NA
SUB-R1-026,*CC(C)(C)C,R2,enriched,base,12687,548,0.0272543307898535,0.0436897074065215,0.0164353766166679,TRUE,NA,NA
SUB-R1-027,*c1ccc(C)cc1,R2,enriched,base,4978,294,0.0106937856602735,0.0234393685721119,0.0127455829118383,TRUE,NA,NA
SUB-R1-028,*c1cccc(C)c1,R2,enriched,base,4978,286,0.0106937856602735,0.0228015626245714,0.0121077769642978,TRUE,NA,NA
SUB-R1-029,*c1ccc(OC)cc1,R2,enriched,base,3878,245,0.00833075548223,0.0195328071434266,0.0112020516611966,TRUE,NA,NA
