Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,Relative_to_current_limit,Beyond_limit_flag,SA_score,logP,Search_run
TS0001,1,CCCCCCCCCCC(OC)(OCN)c1c(OC)cc(OC)cc1OC,ketal,*CN,*C,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.9610595703125,0.8536621928215027,0.8610595703125004,TRUE,3.2708715623275832,4.975200000000004,run_01
TS0002,2,CCCCCCCCCCC(OCCC)(OCCC)OCCN,orthoester,*CCN,*CCC,*OCCC,*CCCCCCCCCC,6.784409999847412,0.5884618759155273,0.6844099998474125,TRUE,2.8335662818495724,4.999500000000004,run_01
TS0003,3,CCCCCCCCCCC(OCC)(OCC)ONCC,orthoester,*NCC,*CC,*OCC,*CCCCCCCCCC,6.747187614440918,0.619895339012146,0.6471876144409183,TRUE,2.9584683922705004,4.785100000000004,run_01
TS0004,4,CCCCCCCCCCC(OCCC)(OCCN)OC(C)C,orthoester,*CCN,*C(C)C,*OCCC,*CCCCCCCCCC,6.73374080657959,0.5407156944274902,0.6337408065795902,TRUE,3.304506786200884,4.997900000000004,run_01
TS0005,5,CCCCCCCCCCC(OCC)(OCCC)OCNC,orthoester,*CNC,*CCC,*OCC,*CCCCCCCCCC,6.710467338562012,0.575287401676178,0.6104673385620121,TRUE,3.3706132767413504,4.827600000000004,run_01
TS0006,6,CCCCCCCCCCC(OCC)(OCC)OCNC,orthoester,*CNC,*CC,*OCC,*CCCCCCCCCC,6.703004360198975,0.6018412709236145,0.603004360198975,TRUE,2.938105158893709,4.437500000000004,run_01
TS0007,7,CCCCCCCCCCC(OCC)(OCC)OCN,orthoester,*CN,*CC,*OCC,*CCCCCCCCCC,6.664312839508057,0.5215654969215393,0.564312839508057,TRUE,2.880770465721108,4.176800000000003,run_01
TS0008,8,CCCCCCCCCCC(OCC)(OCCC)OCCCN,orthoester,*CCCN,*CCC,*OCC,*CCCCCCCCCC,6.661957740783691,0.6963818669319153,0.5619577407836918,TRUE,3.200354086496743,4.999500000000004,run_01
TS0009,9,CCCCCCCCCCC(OCC)(OCC)OCCCN,orthoester,*CCCN,*CC,*OCC,*CCCCCCCCCC,6.646759986877441,0.7257572412490845,0.5467599868774418,TRUE,2.7572786921743493,4.609400000000004,run_01
TS0010,10,CCCCCCCCCCC(OCC)(OCNC)OC(C)C,orthoester,*CNC,*C(C)C,*OCC,*CCCCCCCCCC,6.624924659729004,0.5060623288154602,0.5249246597290043,TRUE,3.4298476134781195,4.826000000000004,run_05
