Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,SA_score,logP,Discovery_stage
HTS000001,1,CCCCCCCCCCC(OC)(OCC)OCC,orthoester,CC*,C(C)*,O(C)*,CCCCCCCCCC*,7.0816513,0.7010720754604249,2.632814110433081,4.890400000000005,HTS
HTS000002,2,CCCCCCCCCCC(OC)(OC)OC,orthoester,C*,C*,CO*,CCCCCCCCCC*,7.04938398,0.5598221584065798,2.521444323248085,4.110200000000003,HTS
HTS000003,3,CCCCCCCCCCC(OC)(OC)OCC,orthoester,C(C)*,C*,CO*,CCCCCCCCCC*,7.031499939999999,0.6732858089428636,2.59734557983807,4.500300000000004,HTS
HTS000004,4,CCCCCCCCCCC(OC)(OC)OCCC,orthoester,CCC*,C*,CO*,CCCCCCCCCC*,6.98719258,0.7179461438869337,2.624396693887362,4.890400000000005,HTS
TS0001,5,CCCCCCCCCCC(OC)(OCN)c1c(OC)cc(OC)cc1OC,ketal,*CN,*C,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.9610595703125,0.8536621928215027,3.2708715623275832,4.975200000000004,Targeted_search
HTS000005,6,CCCCCCCCCCC(OC)(OC)OC(C)C,orthoester,CC(C)*,C*,CO*,CCCCCCCCCC*,6.950800119999999,0.6199745504084323,2.665910186128068,4.888800000000004,HTS
TS0002,7,CCCCCCCCCCC(OCCC)(OCCC)OCCN,orthoester,*CCN,*CCC,*OCCC,*CCCCCCCCCC,6.784409999847412,0.5884618759155273,2.8335662818495724,4.999500000000004,Targeted_search
TS0003,8,CCCCCCCCCCC(OCC)(OCC)ONCC,orthoester,*NCC,*CC,*OCC,*CCCCCCCCCC,6.747187614440918,0.619895339012146,2.9584683922705004,4.785100000000004,Targeted_search
TS0004,9,CCCCCCCCCCC(OCCC)(OCCN)OC(C)C,orthoester,*CCN,*C(C)C,*OCCC,*CCCCCCCCCC,6.73374080657959,0.5407156944274902,3.304506786200884,4.997900000000004,Targeted_search
TS0005,10,CCCCCCCCCCC(OCC)(OCCC)OCNC,orthoester,*CNC,*CCC,*OCC,*CCCCCCCCCC,6.710467338562012,0.575287401676178,3.3706132767413504,4.827600000000004,Targeted_search
TS0006,11,CCCCCCCCCCC(OCC)(OCC)OCNC,orthoester,*CNC,*CC,*OCC,*CCCCCCCCCC,6.703004360198975,0.6018412709236145,2.938105158893709,4.437500000000004,Targeted_search
TS0007,12,CCCCCCCCCCC(OCC)(OCC)OCN,orthoester,*CN,*CC,*OCC,*CCCCCCCCCC,6.664312839508057,0.5215654969215393,2.880770465721108,4.176800000000003,Targeted_search
TS0008,13,CCCCCCCCCCC(OCC)(OCCC)OCCCN,orthoester,*CCCN,*CCC,*OCC,*CCCCCCCCCC,6.661957740783691,0.6963818669319153,3.200354086496743,4.999500000000004,Targeted_search
TS0009,14,CCCCCCCCCCC(OCC)(OCC)OCCCN,orthoester,*CCCN,*CC,*OCC,*CCCCCCCCCC,6.646759986877441,0.7257572412490845,2.7572786921743493,4.609400000000004,Targeted_search
TS0010,15,CCCCCCCCCCC(OCC)(OCNC)OC(C)C,orthoester,*CNC,*C(C)C,*OCC,*CCCCCCCCCC,6.624924659729004,0.5060623288154602,3.4298476134781195,4.826000000000004,Targeted_search
TS0011,16,CCCCCCC(OC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)C,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.623726844787598,0.5204719305038452,3.028038735798422,4.947200000000005,Targeted_search
TS0012,17,CCCCCCCCCCC(OCC)(OCCC)OCCN,orthoester,*CCN,*CCC,*OCC,*CCCCCCCCCC,6.622298240661621,0.6040810346603394,3.226532879719019,4.609400000000004,Targeted_search
TS0013,18,CCCCCCCCCCC(OC)(OC)OOCCC,orthoester,*OCCC,*C,*OC,*CCCCCCCCCC,6.621248722076416,0.5544719696044922,2.8332237624244048,4.8220000000000045,Targeted_search
HTS000006,19,CCCCCCCCCCC(OCC)(OCC)OCCOC,orthoester,C(COC)*,CC*,O(CC)*,CCCCCCCCCC*,6.62064152,0.6518957383741987,2.686410950238866,4.9070000000000045,HTS
TS0014,20,CCCCCCCCCCC(OCC)(OCC)OCO,orthoester,*CO,*CC,*OCC,*CCCCCCCCCC,6.620170593261719,0.528924286365509,2.862177059127701,4.210400000000004,Targeted_search
TS0015,21,CCCCCCCCCCC(OCC)(OCC)OCCN,orthoester,*CCN,*CC,*OCC,*CCCCCCCCCC,6.611461639404297,0.6362404823303223,2.7866986399888845,4.219300000000002,Targeted_search
TS0016,22,CCCCCCC(OCC)(OCC)c1ccc(N(C)C)cc1,ketal,*CC,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.597790718078613,0.5183624029159546,2.564550847729002,4.948800000000005,Targeted_search
TS0017,23,CCCCCCCCCCC(OCC)(OCCC)OCCO,orthoester,*CCO,*CCC,*OCC,*CCCCCCCCCC,6.597596645355225,0.5858656764030457,3.184395907014304,4.643000000000005,Targeted_search
TS0018,24,CCCCCCCCCCC(OC)(OC)ONCC,orthoester,*NCC,*C,*OC,*CCCCCCCCCC,6.594993591308594,0.5282148122787476,2.917895968197957,4.004900000000003,Targeted_search
TS0019,25,CCCCCCC(OC)(OC)c1ccc(N(C)C)cc1,ketal,*C,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.594681739807129,0.4610513746738434,2.431469921265564,4.168600000000003,Targeted_search
TS0020,26,CCCCCCCCCCC(OCCOCCN)(ONCC)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCN,*NCC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.594399452209473,1.0083956718444824,3.5436577210346822,4.929000000000003,Targeted_search
TS0021,27,CCCCCCCCCCC(OCC)(OCC)OCOC,orthoester,*COC,*CC,*OCC,*CCCCCCCCCC,6.5924391746521,0.5136311650276184,2.7746548329484657,4.864500000000005,Targeted_search
TS0022,28,CCCCCCCCCCC(OCC)(OCCCN)OC(C)C,orthoester,*CCCN,*C(C)C,*OCC,*CCCCCCCCCC,6.58715295791626,0.6409429907798767,3.253702218893192,4.997900000000004,Targeted_search
TS0023,29,CCCCCCCCCCC(OCCN)(OC(C)C)OC(C)C,orthoester,*CCN,*C(C)C,*OC(C)C,*CCCCCCCCCC,6.584115028381348,0.4853388667106628,2.9243463663804263,4.996300000000004,Targeted_search
TS0024,30,CCCCCCCCCCC(OCC)(OCC)OCCO,orthoester,*CCO,*CC,*OCC,*CCCCCCCCCC,6.582589626312256,0.6087256073951721,2.742419109350031,4.252900000000005,Targeted_search
TS0025,31,CCCCCCCCCCC(OCC)(OCC)OCCCO,orthoester,*CCCO,*CC,*OCC,*CCCCCCCCCC,6.576885223388672,0.6835818290710449,2.728224101603629,4.643000000000005,Targeted_search
TS0026,32,CCCCCCCCCCC(OC)(OCC)ONCC,orthoester,*NCC,*CC,*OC,*CCCCCCCCCC,6.5746941566467285,0.5782581567764282,3.354407327849257,4.395000000000003,Targeted_search
TS0027,33,CCCCCCC(OC)(OCC)c1ccc(N(C)C)cc1,ketal,*CC,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.56997537612915,0.5038685202598572,2.93424589559556,4.558700000000004,Targeted_search
